Part Type,Designator,Footprint,Description
0.1uF,C5,0603-C,Capacitor
0.1uF,C11,0603-C,Capacitor
0.1uF,C7,0603-C,Capacitor
0.1uF,C6,0603-C,Capacitor
0.1uF,C2,0603-C,Capacitor
0.1uF,C12,0603-C,Capacitor
0.1uF,C10,0603-C,Capacitor
0.1uF,C8,0603-C,Capacitor
0.1uF,C4,0603-C,Capacitor
0.1uF,C3,0603-C,Capacitor
0.1uF,C9,0603-C,Capacitor
0R,R26,0603-R,
1K,R11,0603-R,
10K,R10,0603-R,
10K,R7,0603-R,
10K,R12,0603-R,
10K,R5,0603-R,
10K,R9,0603-R,
10K,R6,0603-R,
10K,R17,0603-R,
10K,R14,0603-R,
10K,R16,0603-R,
10K,R8,0603-R,
10K,R15,0603-R,
10uF/6V,C15,TAN_A,Capacitor
10uF/6V,C14,TAN_A,Capacitor
10uF/6V,C16,TAN_A,Capacitor
10uF/6V,C13,TAN_A,Capacitor
20K,R27,0603-R,
20K,R28,0603-R,
22uF,C1,TAN_A,Capacitor
50K,R4,0603-R,
100,R39,0603-R,
100,R34,0603-R,
100,R41,0603-R,
100,R42,0603-R,
100,R35,0603-R,
100,R40,0603-R,
100K,R24,0603-R,
100K,R25,0603-R,
100K,R23,0603-R,
100K,R3,0603-R,
100R,R18,0603-R,
100R,R19,0603-R,
100R,R22,0603-R,
100R,R20,0603-R,
120K,R2,0603-R,
220R,R32,0603-R,
220R,R31,0603-R,
220R,R13,0603-R,
220R,R33,0603-R,
220R,R1,0603-R,
220R,R30,0603-R,
220R,R21,0603-R,
9014,Q7,SOT23,NPN Transistor
9014,Q4,SOT23,NPN Transistor
9014,Q5,SOT23,NPN Transistor
9014,Q11,SOT23,NPN Transistor
9014,Q12,SOT23,NPN Transistor
9014,Q8,SOT23,NPN Transistor
CD74HC574,U3,TSSOP20,
HEADER 2,JP3,RAD0.1,
HEADER 6X2,JP1,DIP12,
HEADER 6X2,JP2,DIP12,
IRLML6401,Q3,SOT23,
IRLML6401,Q6,SOT23,
LED,LED5,0805-LED,
LED,LED7,0805-LED,
LED,LED4,0805-LED,
LED,LED8,0805-LED,
LED,LED9,0805-LED,
LED,LED6,0805-LED,
ME2-CH2O,J1,ME2CH2O,Connector
MOSFET N,Q1,SOT23,
MOSFET N,Q2,SOT23,
MP901,U4,MP901,
MSP430FR2X,U1,,
SN74AHC139PWLE(16),U6,SO-16,Dual 2-Line to 4-Line Decoders/Demultiplexers
TLC2272,U2,SO-8,
TPSA05,U5,SOT23-5,
