Part Type,Designator,Footprint,Description
0.1uF,C7,0603-C,Capacitor
0.1uF,C6,0603-C,Capacitor
0.1uF,C8,0603-C,Capacitor
1.1uF,C5,0805-C,Capacitor
1.2uF,C1,0805-C,Capacitor
1.2uF,C2,0805-C,Capacitor
1uF,C4,0805-C,Capacitor
1uF,C3,0805-C,Capacitor
3.3V,Z1,1206,Zener Diode
4.7K,R10,0603-R,
4.7K,R14,0603-R,
4.7K,R11,0603-R,
9.1K,R8,0603-R,
10K,R6,0603-C,
10K,R16,0603-R,
10K,R22,0603-R,
10K,R12,0603-R,
10K,R24,0603-R,
10K,R7,0603-R,
10K,R23,0603-R,
15K,R18,0603-R,
15mH,L1,INDUCTOR,
34K,R17,0603-R,
75K,R15,0603-R,
100,R35,0603-R,
100,R42,0603-R,
100,R41,0603-R,
100,R34,0603-R,
100,R39,0603-R,
100,R38,0603-R,
100,R37,0603-R,
100,R40,0603-R,
100,R36,0603-R,
100K@50K,RES,RES_ROT,Potentiometer
120K,R3,0603-R,
120K,R5,0603-R,
150K,R9,0603-R,
150R,R19,0603-R,
220R,R29,0603-R,
220R,R31,0603-R,
220R,R27,0603-R,
220R,R32,0603-R,
220R,R30,0603-R,
220R,R20,0603-R,
220R,R13,0603-R,
220R,R21,0603-R,
220R,R33,0603-R,
220R,R25,0603-R,
220R,R26,0603-R,
220R,R28,0603-R,
470R,R4,0603-R,
470R,R1,0603-R,
680R,R2,0603-R,
9014,Q10,SOT23,NPN Transistor
9014,Q9,SOT23,NPN Transistor
9014,Q6,SOT23,NPN Transistor
9014,Q11,SOT23,NPN Transistor
9014,Q8,SOT23,NPN Transistor
9014,Q12,SOT23,NPN Transistor
9014,Q7,SOT23,NPN Transistor
9014,Q1,SOT23,NPN Transistor
9014,Q4,SOT23,NPN Transistor
9014,Q5,SOT23,NPN Transistor
9014,Q3,SOT23,NPN Transistor
9014,Q2,SOT23,NPN Transistor
CD74HC574,U3,TSSOP20,
CD74HC574,U4,TSSOP20,
CMPD7000-C5C,D3,SOT-23,
HEADER 6X2,JP1,DIP12,
IN4148,D1,1206-DIODE,Diode
IN4148,D2,1206-DIODE,Diode
INDUCTOR,L2,ANT,
LED,LED6,0805-LED,
LED,LED5,0805-LED,
LED,LED8,0805-LED,
LED,LED4,0805-LED,
LED,LED9,0805-LED,
LED,LED7,0805-LED,
LED,LED2,LED_DIP,
LED,LED1,LED_DIP,
LED,LED3,LED_DIP,
LED_3,D4,DIP_LED_3,
LM358,U2,SO-8,
LM2902,U1,SO-14,
SW-PB,S1,B3F-1000,
